year,data
1901,7.781550407409668
1902,7.262444972991943
1903,8.382242202758789
1904,8.436717987060547
1905,8.02903938293457
1906,8.407496452331543
1907,7.910844326019287
1908,7.570342063903809
1909,7.343850135803223
1910,8.497634887695312
1911,9.18038558959961
1912,7.983842372894287
1913,8.631296157836914
1914,8.630385398864746
1915,7.960661888122559
1916,8.487845420837402
1917,7.650582313537598
1918,8.624053955078125
1919,7.402693271636963
1920,8.717212677001953
1921,9.067139625549316
1922,7.237299919128418
1923,8.080785751342773
1924,7.640101432800293
1925,8.428930282592773
1926,8.782787322998047
1927,8.108406066894531
1928,8.422197341918945
1929,7.717212677001953
1930,8.90211009979248
1931,7.472853183746338
1932,8.40149211883545
1933,7.6613898277282715
1934,9.15975284576416
1935,8.283915519714355
1936,8.378238677978516
1937,8.518231391906738
1938,8.612627029418945
1939,8.27525520324707
1940,6.626019477844238
1941,7.00873327255249
1942,7.263864994049072
1943,8.862409591674805
1944,8.294832229614258
1945,8.837736129760742
1946,8.481659889221191
1947,8.662481307983398
1948,9.188718795776367
1949,9.284825325012207
1950,8.752365112304688
1951,8.81772232055664
1952,8.030095100402832
1953,9.029184341430664
1954,7.773108005523682
1955,7.682023525238037
1956,7.151055335998535
1957,8.699454307556152
1958,8.314410209655762
1959,9.15378475189209
1960,8.480822563171387
1961,9.034061431884766
1962,7.290611267089844
1963,7.195960998535156
1964,8.217212677001953
1965,7.569032192230225
1966,8.547415733337402
1967,9.024818420410156
1968,8.276891708374023
1969,7.833915710449219
1970,7.7776198387146
1971,8.55727767944336
1972,7.962191104888916
1973,8.362991333007812
1974,8.90556812286377
1975,9.00953483581543
1976,8.514992713928223
1977,8.703166007995605
1978,7.880058288574219
1979,7.789519309997559
1980,7.700691223144531
1981,8.293886184692383
1982,9.050655364990234
1983,9.199853897094727
1984,8.14057445526123
1985,7.598690032958984
1986,8.069723129272461
1987,7.5780930519104
1988,9.204622268676758
1989,9.714628219604492
1990,9.73846435546875
1991,8.63275146484375
1992,9.58482551574707
1993,8.628530502319336
1994,9.815247535705566
1995,9.095996856689453
1996,7.354403018951416
1997,9.082605361938477
1998,9.175909042358398
1999,9.63286018371582
2000,10.041376113891602
2001,9.112955093383789
2002,9.664883613586426
2003,9.43253231048584
2004,9.07121467590332
2005,9.1480712890625
2006,9.780167579650879
2007,9.990829467773438
2008,9.683952331542969
2009,9.445123672485352
2010,8.205545425415039
2011,10.030733108520508
2012,9.452756881713867
