year,data
1901,10.292959213256836
1902,10.35991382598877
1903,11.03735637664795
1904,11.26939582824707
1905,10.66005802154541
1906,10.64928150177002
1907,10.742097854614258
1908,10.110057830810547
1909,10.537069320678711
1910,11.237787246704102
1911,11.274712562561035
1912,10.279741287231445
1913,10.694252967834473
1914,10.212068557739258
1915,10.926436424255371
1916,11.653017044067383
1917,10.619253158569336
1918,10.83175277709961
1919,10.52428150177002
1920,11.37571907043457
1921,11.387930870056152
1922,10.562931060791016
1923,11.552586555480957
1924,10.34870719909668
1925,10.902298927307129
1926,11.291091918945312
1927,11.548563003540039
1928,11.194971084594727
1929,10.365373611450195
1930,11.514942169189453
1931,10.615660667419434
1932,10.882471084594727
1933,9.9837646484375
1934,11.721407890319824
1935,10.795114517211914
1936,11.236207008361816
1937,11.166810989379883
1938,10.8445405960083
1939,11.013936996459961
1940,9.446551322937012
1941,10.14195442199707
1942,10.598419189453125
1943,11.662212371826172
1944,10.756464958190918
1945,11.447844505310059
1946,11.748994827270508
1947,11.630890846252441
1948,11.397988319396973
1949,11.432758331298828
1950,12.147844314575195
1951,11.854022979736328
1952,11.361781120300293
1953,10.990948677062988
1954,10.269826889038086
1955,10.65244197845459
1956,9.967385292053223
1957,11.226724624633789
1958,11.44942569732666
1959,10.957040786743164
1960,11.21364974975586
1961,11.727298736572266
1962,10.601005554199219
1963,10.709051132202148
1964,10.68132209777832
1965,10.463936805725098
1966,11.340948104858398
1967,11.161781311035156
1968,11.03620719909668
1969,10.534051895141602
1970,10.711350440979004
1971,10.879166603088379
1972,10.9070405960083
1973,10.71264362335205
1974,11.17442512512207
1975,11.256464958190918
1976,10.466379165649414
1977,11.291091918945312
1978,10.17241382598877
1979,11.181896209716797
1980,10.135919570922852
1981,10.97068977355957
1982,11.436637878417969
1983,11.367384910583496
1984,10.621695518493652
1985,10.69870662689209
1986,10.957757949829102
1987,10.697701454162598
1988,11.394540786743164
1989,11.387643814086914
1990,11.847126960754395
1991,10.840373039245605
1992,11.92241382598877
1993,11.427011489868164
1994,12.65129280090332
1995,11.293535232543945
1996,10.80517292022705
1997,11.42744255065918
1998,11.65201187133789
1999,11.787643432617188
2000,12.697988510131836
2001,11.868103981018066
2002,12.33563232421875
2003,12.034626960754395
2004,11.52816104888916
2005,11.024425506591797
2006,11.91436767578125
2007,12.64310359954834
2008,12.446551322937012
2009,12.429884910583496
2010,10.804220199584961
2011,11.6913423538208
2012,11.879437446594238
